epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.007,1.59032,1.96757,0.00667,0.60159,0.53188,0.56217,0.32381,1.40652,1.73061,0.00845,0.00332754,0.00332754,0.0700522
2,249.439,1.556,1.44871,0.00668,0.77299,0.65437,0.76526,0.48652,1.34743,1.27447,0.00799,0.0063971,0.0063971,0.0397884
3,359.008,1.50393,1.34244,0.00649,0.82035,0.71887,0.81799,0.48173,1.4747,1.11405,0.00897,0.00920266,0.00920266,0.00926063
4,467.973,1.4226,1.19316,0.00596,0.81162,0.7555,0.84663,0.59707,1.16934,0.89747,0.00655,0.008812,0.008812,0.008812
5,576.805,1.3762,1.0921,0.00573,0.83891,0.79947,0.88254,0.60699,1.1611,0.81603,0.00655,0.008416,0.008416,0.008416
6,685.759,1.34611,1.04696,0.00553,0.83134,0.79156,0.86947,0.59622,1.23892,0.78642,0.00711,0.00802,0.00802,0.00802
7,795.135,1.31077,1.00568,0.00544,0.83874,0.79366,0.88256,0.62305,1.15367,0.73039,0.00654,0.007624,0.007624,0.007624
8,902.787,1.25804,0.93064,0.00513,0.87671,0.81618,0.90684,0.6535,1.05639,0.64975,0.00556,0.007228,0.007228,0.007228
9,1011.8,1.21693,0.85853,0.00483,0.89652,0.82671,0.92214,0.66003,1.05211,0.62527,0.00581,0.006832,0.006832,0.006832
10,1120.7,1.22135,0.85099,0.00478,0.88935,0.84122,0.92697,0.67366,1.07143,0.59959,0.00558,0.006436,0.006436,0.006436
11,1229.85,1.19067,0.79017,0.00469,0.89154,0.84946,0.93332,0.70081,0.95879,0.5403,0.0048,0.00604,0.00604,0.00604
12,1338.82,1.15622,0.77518,0.00456,0.88922,0.86831,0.93985,0.69498,0.98356,0.55581,0.00517,0.005644,0.005644,0.005644
13,1447.89,1.13835,0.74426,0.00434,0.86796,0.86718,0.93002,0.68268,0.95888,0.56741,0.00504,0.005248,0.005248,0.005248
14,1556.05,1.11283,0.72145,0.00422,0.9112,0.87093,0.94922,0.72488,0.88293,0.49519,0.00442,0.004852,0.004852,0.004852
15,1664.59,1.08218,0.68672,0.00415,0.88735,0.89138,0.95112,0.73468,0.89282,0.48404,0.00439,0.004456,0.004456,0.004456
16,1774.35,0.98066,0.54242,0.00427,0.89953,0.89182,0.95457,0.72939,0.89149,0.48413,0.0044,0.00406,0.00406,0.00406
17,1882.46,0.96401,0.499,0.00416,0.92451,0.89006,0.96068,0.75452,0.89632,0.43182,0.00472,0.003664,0.003664,0.003664
18,1991.06,0.95388,0.49848,0.00407,0.92682,0.89107,0.96405,0.76147,0.85285,0.4035,0.00415,0.003268,0.003268,0.003268
19,2100.69,0.91327,0.46495,0.00383,0.93317,0.89006,0.96449,0.7682,0.82425,0.41106,0.00404,0.002872,0.002872,0.002872
20,2208.21,0.90849,0.45679,0.00368,0.90426,0.92205,0.96436,0.76303,0.85478,0.40389,0.00428,0.002476,0.002476,0.002476
21,2316.12,0.88238,0.44257,0.00367,0.92432,0.91381,0.96971,0.76013,0.81221,0.38284,0.0038,0.00208,0.00208,0.00208
22,2425.79,0.87841,0.42875,0.00359,0.91311,0.92885,0.97131,0.78424,0.79258,0.36267,0.00381,0.001684,0.001684,0.001684
23,2535.51,0.85694,0.42051,0.00353,0.93971,0.8971,0.97111,0.79133,0.76736,0.37157,0.00358,0.001288,0.001288,0.001288
24,2644.16,0.83474,0.40987,0.00335,0.93174,0.91865,0.97295,0.79111,0.75845,0.36211,0.00353,0.000892,0.000892,0.000892
25,2753.2,0.83767,0.39976,0.00336,0.93512,0.91821,0.97324,0.79694,0.75549,0.35301,0.00349,0.000496,0.000496,0.000496
